Portugal,20.1,21.4,23.9,32.6,41.1,44.9,47.2,48.8,50.8,50.8,52.1,52.1,53.6
Qatar,42.9,49.2,54.5,62.1,44.5,62.7,66.7,69.8,70.9,70.9,70.9,70.9,73.5
Romania,63.8,70.6,73.2,78.8,83.9,85.1,86.1,86.6,86.1,86.1,86.5,86.5,87.2
Russian Federation,74.2,80.3,91.5,93.6,89.6,90.8,92.1,93.4,94.6,95.9,95.8,95.8,96.3
Rwanda,2.8,3.6,5,6.3,8,8.7,9.2,9.8,10.5,11.1,11.9,12.6,12.9
Saint Lucia,..,..,..,..,48.2,48.2,48.2,48.2,48.2,48.2,48.2,48.2,49.2
Samoa,..,..,63.3,68.4,73.6,74.6,75.7,76.7,77.8,77.8,79.1,79.1,79.1
Sao Tome and Principe,..,..,..,..,30.8,30.8,30.8,30.8,30.8,30.8,31.1,31.1,31.5
Saudi Arabia,21.8,27,31.8,44.9,54.6,56.6,58.5,60.5,63.3,66.1,67.8,67.8,67.8
Senegal,4.1,4.3,4.3,4.1,6.7,7.2,8.4,9.6,10.2,10.2,10.3,11.1,11.1
Serbia,32.5,40.7,44.7,62.7,80.7,79.5,80.5,81.6,82.3,82.3,84.6,84.6,85.7
Sierra Leone,4,5.2,6.3,7.3,9.9,11.7,13.4,15.1,16.8,16.8,18.5,19.2,19.9
Singapore,28.9,46.3,61.2,66.6,72.7,73.2,74.1,74.8,75.5,75.5,76.1,76.1,76.3
Slovakia,71.8,90.5,92.1,97.9,97.4,97.3,99.1,99.1,99.2,99.2,99.1,99.1,99.1
Slovenia,78,84.7,93.2,93.1,94,94.8,95.8,96.1,96.5,96.5,97.4,97.4,97
South Africa,37.7,51.3,53.6,62.6,69.7,71.1,72.7,73.2,73.7,73.7,74.2,74.2,75
Spain,30.1,42.9,54.9,58.4,64.2,65.6,66.8,68.8,70.9,70.9,72.2,72.2,73.3
Sri Lanka,49,59.9,71,72.2,72.8,74.7,76.5,78.3,80.2,80.2,81.9,82.6,82.6
Sudan,3.9,6.4,9.1,11,12.1,12.5,12.9,13.3,13.7,13.7,14.1,14.7,15.3
Suriname,..,..,39.8,45.9,52.4,53.7,55,56.4,57.7,58.2,58.7,58.7,61.5
Sweden,67.2,73.2,79.9,88.7,85.1,85.9,86.5,87.2,87.8,87.8,88.4,88.4,88.8
Switzerland,57.4,57.5,64.5,81.5,94.6,94.7,95,95.5,96.1,96.1,96.4,96.4,96.4
Syrian Arab Republic,18.8,22.1,25.6,27.1,29.5,30.8,32.1,33.5,34.8,36.1,37.1,37.1,37.1
Tajikistan,71.2,82.3,89.9,92.7,95,95.8,96.5,97.3,98,98,98.8,98.8,98.8
Tanzania (United Republic of),2.5,3.2,4,5.5,7.7,8.1,8.6,9.3,10.1,10.8,11.9,11.9,11.9
Thailand,11.6,13.6,18.7,29.4,35.7,36.7,37.7,38.7,39.6,40.6,41.5,42.4,43.1
Togo,9.5,11,12.6,13.7,16.1,17.9,19.6,21.4,23.1,23.1,24.9,26.3,27.6
Tonga,59.9,71.6,70.7,68.6,83.6,87.5,88.7,90,91.2,92.5,92.7,92.7,94
Trinidad and Tobago,37,44,50.7,56.6,59.7,62.4,65.1,67.9,70.6,70.6,73.3,74.4,74.4
Tunisia,12,15.9,20.7,26.1,32.8,34,33.3,35.4,37.5,37.5,40,41.2,42.3
Turkey,12.3,14,18.1,20.9,34.1,37.5,39,40.5,43.5,43.5,44.9,44.9,44.3
Uganda,6.2,7.2,7.1,15.1,22.9,23.7,24.4,25.2,25.9,25.9,26.2,26.7,27.4
Ukraine,72.6,79.7,84,89.4,91.7,92.4,93,93.7,94.3,94.3,95,94.5,94
United Arab Emirates,43.9,55.8,64.4,70.9,73.1,74.2,75.3,76.3,77.4,77.4,78.5,78.8,78.8
United Kingdom,67,72.7,79.5,88.8,99.7,99.8,81.6,81.4,81.3,81.3,82,82.4,82.9
United States,92.8,93.4,93.8,93.9,94.9,95,95.1,95.4,95.4,95.4,95.6,95.5,95.7
Uruguay,39.8,42.6,52.9,52.4,50.6,53.1,54.4,53.8,55,55,55.8,55.8,57.8
Uzbekistan,..,..,..,..,..,..,..,99.9,99.9,99.9,99.9,99.9,99.9
Venezuela (Bolivarian Republic of),23.4,30,35.3,44.3,61.2,65.8,68.1,70.3,72.6,72.6,71.7,71.7,71.7
Viet Nam,10.3,18.4,30.2,44.6,59.9,60.3,61.5,62.7,64,64,65.2,66.2,66.2
Yemen,0.4,0.9,2.6,5,8.6,10.3,12.1,13.9,15.6,15.6,17.4,18.7,19.9
Zambia,12.5,24.8,18.4,22.8,25.8,27.3,28.8,30.3,31.7,33.2,36.2,39.2,39.2
Zimbabwe,16.6,28.5,37.1,40.5,46.3,47.5,48.7,50.3,52.4,54.1,55,55.9,55.9
Antigua and Barbuda,..,..,..,..,..,..,..,..,..,..,..,..,..
Comoros,..,..,..,..,..,..,..,..,..,..,..,..,..
Djibouti,..,..,..,..,..,..,..,..,..,..,..,..,..
Dominica,..,..,..,..,..,..,..,..,..,..,..,..,..
Eritrea,..,..,..,..,..,..,..,..,..,..,..,..,..
Micronesia (Federated States of),..,..,..,..,..,..,..,..,..,..,..,..,..
Guinea,..,..,..,..,..,..,..,..,..,..,..,..,..
Guinea-Bissau,..,..,..,..,..,..,..,..,..,..,..,..,..
Equatorial Guinea,..,..,..,..,..,..,..,..,..,..,..,..,..
Grenada,..,..,..,..,..,..,..,..,..,..,..,..,..
Kiribati,..,..,..,..,..,..,..,..,..,..,..,..,..
Saint Kitts and Nevis,..,..,..,..,..,..,..,..,..,..,..,..,..
Liechtenstein,..,..,..,..,..,..,..,..,..,..,..,..,..
Madagascar,..,..,..,..,..,..,..,..,..,..,..,..,..
Nigeria,..,..,..,..,..,..,..,..,..,..,..,..,..
Solomon Islands,..,..,..,..,..,..,..,..,..,..,..,..,..
South Sudan,..,..,..,..,..,..,..,..,..,..,..,..,..
Seychelles,..,..,..,..,..,..,..,..,..,..,..,..,..
Turkmenistan,..,..,..,..,..,..,..,..,..,..,..,..,..
Timor-Leste,..,..,..,..,..,..,..,..,..,..,..,..,..
Saint Vincent and the Grenadines,..,..,..,..,..,..,..,..,..,..,..,..,..
Vanuatu,..,..,..,..,..,..,..,..,..,..,..,..,..
Human Development, ,..,..,..,..,..,..,..,..,..,..,..,..
Very high human development,..,..,..,..,..,..,..,..,..,..,..,..,..
High human development,..,..,..,..,..,..,..,..,..,..,..,..,..
Medium human development,..,..,..,..,..,..,..,..,..,..,..,..,..
Low human development,..,..,..,..,..,..,..,..,..,..,..,..,..
Developing Countries,..,..,..,..,..,..,..,..,..,..,..,..,..
Regions, ,..,..,..,..,..,..,..,..,..,..,..,..
Arab States,..,..,..,..,..,..,..,..,..,..,..,..,..
East Asia and the Pacific,..,..,..,..,..,..,..,..,..,..,..,..,..
Europe and Central Asia,..,..,..,..,..,..,..,..,..,..,..,..,..
Latin America and the Caribbean,..,..,..,..,..,..,..,..,..,..,..,..,..
South Asia,..,..,..,..,..,..,..,..,..,..,..,..,..
Sub-Saharan Africa,..,..,..,..,..,..,..,..,..,..,..,..,..
Least Developed Countries,..,..,..,..,..,..,..,..,..,..,..,..,..
Small Island Developing States,..,..,..,..,..,..,..,..,..,..,..,..,..
Organization for Economic Co-operation and Development,..,..,..,..,..,..,..,..,..,..,..,..,..
World,..,..,..,..,..,..,..,..,..,..,..,..,..
